timestamp,challenge_type,target,tile_idx,label,confidence,clicked
2026-04-24 13:18:07,4x4,Motorcycle,0,Motorcycle,0.0948,False
2026-04-24 13:18:07,4x4,Motorcycle,1,Motorcycle,0.1967,False
2026-04-24 13:18:07,4x4,Motorcycle,2,Motorcycle,0.6145,False
2026-04-24 13:18:07,4x4,Motorcycle,3,Motorcycle,0.6090,False
2026-04-24 13:18:07,4x4,Motorcycle,4,Motorcycle,0.1037,False
2026-04-24 13:18:07,4x4,Motorcycle,5,Motorcycle,0.4147,False
2026-04-24 13:18:07,4x4,Motorcycle,6,Motorcycle,0.8757,False
2026-04-24 13:18:07,4x4,Motorcycle,7,Motorcycle,0.8759,False
2026-04-24 13:18:07,4x4,Motorcycle,8,Motorcycle,0.1043,False
2026-04-24 13:18:07,4x4,Motorcycle,9,Motorcycle,0.4113,False
2026-04-24 13:18:07,4x4,Motorcycle,10,Motorcycle,0.7793,False
2026-04-24 13:18:07,4x4,Motorcycle,11,Motorcycle,0.8247,False
2026-04-24 13:18:07,4x4,Motorcycle,12,Motorcycle,0.1003,False
2026-04-24 13:18:07,4x4,Motorcycle,13,Motorcycle,0.1729,False
2026-04-24 13:18:07,4x4,Motorcycle,14,Motorcycle,0.6121,False
2026-04-24 13:18:07,4x4,Motorcycle,15,Motorcycle,0.6131,False
2026-04-24 13:18:07,4x4,Motorcycle,2,Motorcycle,0.6145,True
2026-04-24 13:18:07,4x4,Motorcycle,3,Motorcycle,0.6090,True
2026-04-24 13:18:08,4x4,Motorcycle,6,Motorcycle,0.8757,True
2026-04-24 13:18:09,4x4,Motorcycle,7,Motorcycle,0.8759,True
2026-04-24 13:18:10,4x4,Motorcycle,10,Motorcycle,0.7793,True
2026-04-24 13:18:10,4x4,Motorcycle,11,Motorcycle,0.8247,True
2026-04-24 13:18:11,4x4,Motorcycle,14,Motorcycle,0.6121,True
2026-04-24 13:18:12,4x4,Motorcycle,15,Motorcycle,0.6131,True
2026-04-24 13:18:18,4x4,Traffic Light,0,Traffic Light,0.3435,False
2026-04-24 13:18:18,4x4,Traffic Light,1,Traffic Light,0.7722,False
2026-04-24 13:18:18,4x4,Traffic Light,2,Traffic Light,0.9025,False
2026-04-24 13:18:18,4x4,Traffic Light,3,Traffic Light,0.8745,False
2026-04-24 13:18:18,4x4,Traffic Light,4,Traffic Light,0.6488,False
2026-04-24 13:18:18,4x4,Traffic Light,5,Traffic Light,0.8934,False
2026-04-24 13:18:18,4x4,Traffic Light,6,Traffic Light,0.8738,False
2026-04-24 13:18:18,4x4,Traffic Light,7,Traffic Light,0.8769,False
2026-04-24 13:18:18,4x4,Traffic Light,8,Traffic Light,0.6276,False
2026-04-24 13:18:18,4x4,Traffic Light,9,Traffic Light,0.6667,False
