timestamp,challenge_type,target,tile_idx,label,confidence,clicked
2026-04-24 01:24:55,4x4,Motorcycle,0,Car,0.7972,False
2026-04-24 01:24:56,4x4,Motorcycle,1,Car,0.7827,False
2026-04-24 01:24:56,4x4,Motorcycle,2,Hydrant,0.4917,False
2026-04-24 01:24:56,4x4,Motorcycle,3,Palm,0.7762,False
2026-04-24 01:24:56,4x4,Motorcycle,4,Car,0.7708,False
2026-04-24 01:24:56,4x4,Motorcycle,5,Car,0.5539,False
2026-04-24 01:24:57,4x4,Motorcycle,6,Motorcycle,0.5220,True
2026-04-24 01:24:57,4x4,Motorcycle,7,Hydrant,0.2912,False
2026-04-24 01:24:58,4x4,Motorcycle,8,Motorcycle,0.8072,True
2026-04-24 01:24:58,4x4,Motorcycle,9,Motorcycle,0.8323,True
2026-04-24 01:24:59,4x4,Motorcycle,10,Bicycle,0.5645,False
2026-04-24 01:24:59,4x4,Motorcycle,11,Chimney,0.4313,False
2026-04-24 01:24:59,4x4,Motorcycle,12,Other,0.3669,False
2026-04-24 01:25:00,4x4,Motorcycle,13,Bicycle,0.3531,False
2026-04-24 01:25:00,4x4,Motorcycle,14,Car,0.8893,False
2026-04-24 01:25:00,4x4,Motorcycle,15,Hydrant,0.3898,False
2026-04-24 01:25:03,4x4,Stairs,0,Stairs,0.7081,True
2026-04-24 01:25:04,4x4,Stairs,1,Bridge,0.3371,False
2026-04-24 01:25:04,4x4,Stairs,2,Hydrant,0.2084,False
2026-04-24 01:25:05,4x4,Stairs,3,Palm,0.8446,False
2026-04-24 01:25:05,4x4,Stairs,4,Bicycle,0.4848,False
2026-04-24 01:25:05,4x4,Stairs,5,Stairs,0.4619,True
2026-04-24 01:25:06,4x4,Stairs,6,Stairs,0.7551,True
2026-04-24 01:25:07,4x4,Stairs,7,Palm,0.2702,False
2026-04-24 01:25:07,4x4,Stairs,8,Bridge,0.4274,False
2026-04-24 01:25:07,4x4,Stairs,9,Car,0.2810,False
2026-04-24 01:25:07,4x4,Stairs,10,Car,0.5454,False
2026-04-24 01:25:07,4x4,Stairs,11,Car,0.2972,False
2026-04-24 01:25:08,4x4,Stairs,12,Palm,0.6741,False
2026-04-24 01:25:08,4x4,Stairs,13,Hydrant,0.7956,False
2026-04-24 01:25:08,4x4,Stairs,14,Bridge,0.4218,False
2026-04-24 01:25:08,4x4,Stairs,15,Hydrant,0.8310,False
2026-04-24 01:25:11,4x4,Motorcycle,0,Car,0.8738,False
2026-04-24 01:25:11,4x4,Motorcycle,1,Car,0.8567,False
2026-04-24 01:25:11,4x4,Motorcycle,2,Car,0.7660,False
2026-04-24 01:25:12,4x4,Motorcycle,3,Car,0.6496,False
2026-04-24 01:25:12,4x4,Motorcycle,4,Car,0.7969,False
2026-04-24 01:25:12,4x4,Motorcycle,5,Motorcycle,0.8470,True
2026-04-24 01:25:13,4x4,Motorcycle,6,Motorcycle,0.6723,True
2026-04-24 01:25:14,4x4,Motorcycle,7,Palm,0.8223,False
2026-04-24 01:25:14,4x4,Motorcycle,8,Other,0.6757,False
2026-04-24 01:25:14,4x4,Motorcycle,9,Other,0.7673,False
2026-04-24 01:25:14,4x4,Motorcycle,10,Car,0.6251,False
2026-04-24 01:25:14,4x4,Motorcycle,11,Car,0.7549,False
2026-04-24 01:25:15,4x4,Motorcycle,12,Other,0.6773,False
2026-04-24 01:25:15,4x4,Motorcycle,13,Other,0.7293,False
2026-04-24 01:25:15,4x4,Motorcycle,14,Other,0.4864,False
2026-04-24 01:25:15,4x4,Motorcycle,15,Car,0.3352,False
2026-04-24 01:25:18,3x3,Car,0,Car,0.8637,True
2026-04-24 01:25:19,3x3,Car,1,Car,0.8960,True
2026-04-24 01:25:19,3x3,Car,2,Bridge,0.6736,False
2026-04-24 01:25:20,3x3,Car,3,Car,0.8820,True
2026-04-24 01:25:20,3x3,Car,4,Traffic Light,0.8089,False
2026-04-24 01:25:21,3x3,Car,5,Motorcycle,0.8136,False
2026-04-24 01:25:21,3x3,Car,6,Bicycle,0.8629,False
2026-04-24 01:25:21,3x3,Car,7,Car,0.8353,True
2026-04-24 01:25:22,3x3,Car,8,Bicycle,0.3921,False
